============================================================
LWM v1.1 + Coordinate Attention — Pretraining
============================================================
Log file    : lwm1_1_ca/model1_1_weights_ca_e2e.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1', 'city_0_newyork', 'city_1_losangeles', 'city_2_chicago', 'city_3_houston', 'city_4_phoenix', 'city_5_philadelphia', 'city_6_miami', 'city_8_dallas', 'city_9_sanfrancisco', 'city_10_austin', 'city_13_columbus', 'city_17_seattle']
Num workers : 8 | Pin memory: True
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Scheduler per batch: False
Seed        : 0
SNR (dB)    : None
Save path   : lwm1_1_ca/model1_1_weights_ca_e2e.pth
------------------------------------------------------------
Dataset sizes — train: 913664, val: 228416, test: 1
Batches per epoch — train: 14276, val: 3569, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
Batch Size   : 64
  step    50/14276 | loss 0.9928 | data 20.1 ms | step 40.2 ms | 1593.0 samples/s
  step   100/14276 | loss 0.9422 | data 0.1 ms | step 29.9 ms | 2140.7 samples/s
  step   150/14276 | loss 0.9154 | data 0.1 ms | step 30.0 ms | 2134.2 samples/s
  step   200/14276 | loss 0.8943 | data 0.1 ms | step 30.1 ms | 2127.2 samples/s
  step   250/14276 | loss 0.8787 | data 0.1 ms | step 30.0 ms | 2133.5 samples/s
  step   300/14276 | loss 0.8651 | data 0.1 ms | step 30.2 ms | 2116.6 samples/s
  step   350/14276 | loss 0.8507 | data 0.1 ms | step 30.4 ms | 2108.4 samples/s
  step   400/14276 | loss 0.8375 | data 0.1 ms | step 27.2 ms | 2350.7 samples/s
  step   450/14276 | loss 0.8344 | data 0.1 ms | step 22.2 ms | 2880.8 samples/s
  step   500/14276 | loss 0.8235 | data 0.1 ms | step 23.3 ms | 2744.6 samples/s
  step   550/14276 | loss 0.8256 | data 0.1 ms | step 28.7 ms | 2229.8 samples/s
  step   600/14276 | loss 0.8301 | data 0.1 ms | step 29.0 ms | 2204.2 samples/s
  step   650/14276 | loss 0.8172 | data 0.1 ms | step 27.3 ms | 2346.9 samples/s
  step   700/14276 | loss 0.8148 | data 0.1 ms | step 28.5 ms | 2245.5 samples/s
  step   750/14276 | loss 0.7984 | data 0.1 ms | step 28.3 ms | 2258.4 samples/s
  step   800/14276 | loss 0.8035 | data 0.1 ms | step 24.9 ms | 2566.0 samples/s
  step   850/14276 | loss 0.7904 | data 0.1 ms | step 27.0 ms | 2366.5 samples/s
  step   900/14276 | loss 0.7935 | data 0.1 ms | step 27.6 ms | 2315.0 samples/s
  step   950/14276 | loss 0.7847 | data 0.1 ms | step 28.3 ms | 2257.8 samples/s
  step  1000/14276 | loss 0.7672 | data 0.1 ms | step 28.4 ms | 2253.3 samples/s
  step  1050/14276 | loss 0.7750 | data 0.1 ms | step 26.7 ms | 2396.2 samples/s
  step  1100/14276 | loss 0.7655 | data 0.1 ms | step 20.4 ms | 3141.7 samples/s
  step  1150/14276 | loss 0.7467 | data 0.1 ms | step 19.8 ms | 3236.9 samples/s
  step  1200/14276 | loss 0.6751 | data 0.1 ms | step 19.6 ms | 3269.7 samples/s
  step  1250/14276 | loss 0.6305 | data 0.1 ms | step 19.3 ms | 3321.4 samples/s
  step  1300/14276 | loss 0.5309 | data 0.1 ms | step 22.1 ms | 2897.5 samples/s
  step  1350/14276 | loss 0.4691 | data 0.1 ms | step 26.0 ms | 2465.9 samples/s
  step  1400/14276 | loss 0.3994 | data 0.1 ms | step 27.2 ms | 2355.0 samples/s
  step  1450/14276 | loss 0.3321 | data 0.1 ms | step 27.3 ms | 2340.3 samples/s
  step  1500/14276 | loss 0.2696 | data 0.1 ms | step 27.4 ms | 2337.4 samples/s
  step  1550/14276 | loss 0.2349 | data 0.1 ms | step 26.5 ms | 2411.2 samples/s
  step  1600/14276 | loss 0.2058 | data 0.1 ms | step 27.7 ms | 2307.2 samples/s
