Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
  step 50/1558 | loss 1.0164 | 3538.5 samples/s
  step 100/1558 | loss 0.9892 | 4099.8 samples/s
  step 150/1558 | loss 0.9737 | 4057.5 samples/s
  step 200/1558 | loss 0.9594 | 4131.4 samples/s
  step 250/1558 | loss 0.9363 | 4052.3 samples/s
  step 300/1558 | loss 0.9005 | 4070.4 samples/s
  step 350/1558 | loss 0.8616 | 4073.0 samples/s
  step 400/1558 | loss 0.8177 | 4057.6 samples/s
  step 450/1558 | loss 0.7767 | 4066.4 samples/s
  step 500/1558 | loss 0.7462 | 4325.2 samples/s
  step 550/1558 | loss 0.7220 | 4422.7 samples/s
  step 600/1558 | loss 0.7011 | 4440.5 samples/s
  step 650/1558 | loss 0.6947 | 4440.5 samples/s
  step 700/1558 | loss 0.6730 | 4452.4 samples/s
  step 750/1558 | loss 0.6574 | 4520.7 samples/s
  step 800/1558 | loss 0.6417 | 4597.7 samples/s
  step 850/1558 | loss 0.6170 | 4592.1 samples/s
  step 900/1558 | loss 0.6106 | 4599.5 samples/s
  step 950/1558 | loss 0.5948 | 4573.3 samples/s
  step 1000/1558 | loss 0.5786 | 4475.6 samples/s
  step 1050/1558 | loss 0.5652 | 4415.1 samples/s
  step 1100/1558 | loss 0.5545 | 4410.0 samples/s
  step 1150/1558 | loss 0.5374 | 4414.0 samples/s
  step 1200/1558 | loss 0.5284 | 4416.9 samples/s
  step 1250/1558 | loss 0.5383 | 4422.6 samples/s
  step 1300/1558 | loss 0.5175 | 4417.3 samples/s
  step 1350/1558 | loss 0.5102 | 4418.7 samples/s
  step 1400/1558 | loss 0.4922 | 4310.1 samples/s
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
  step    50/1558 | loss 1.0164 | data 4.7 ms | step 134.3 ms | 3811.2 samples/s
  step   100/1558 | loss 0.9892 | data 0.1 ms | step 120.9 ms | 4234.9 samples/s
  step   150/1558 | loss 0.9737 | data 0.1 ms | step 120.8 ms | 4238.0 samples/s
  step   200/1558 | loss 0.9594 | data 0.1 ms | step 121.3 ms | 4222.5 samples/s
  step   250/1558 | loss 0.9363 | data 0.1 ms | step 121.1 ms | 4226.9 samples/s
  step   300/1558 | loss 0.9005 | data 0.1 ms | step 120.7 ms | 4240.6 samples/s
  step   350/1558 | loss 0.8616 | data 0.1 ms | step 114.6 ms | 4466.5 samples/s
  step   400/1558 | loss 0.8177 | data 0.1 ms | step 110.5 ms | 4633.2 samples/s
  step   450/1558 | loss 0.7767 | data 0.1 ms | step 110.4 ms | 4636.9 samples/s
  step   500/1558 | loss 0.7462 | data 0.1 ms | step 110.3 ms | 4640.7 samples/s
  step   550/1558 | loss 0.7220 | data 0.1 ms | step 110.6 ms | 4627.9 samples/s
  step   600/1558 | loss 0.7011 | data 0.1 ms | step 110.8 ms | 4622.3 samples/s
  step   650/1558 | loss 0.6947 | data 0.1 ms | step 109.8 ms | 4661.5 samples/s
  step   700/1558 | loss 0.6730 | data 0.1 ms | step 109.9 ms | 4657.4 samples/s
  step   750/1558 | loss 0.6574 | data 0.1 ms | step 110.1 ms | 4649.3 samples/s
  step   800/1558 | loss 0.6417 | data 0.1 ms | step 109.9 ms | 4658.8 samples/s
  step   850/1558 | loss 0.6170 | data 0.1 ms | step 112.5 ms | 4550.6 samples/s
  step   900/1558 | loss 0.6106 | data 0.1 ms | step 114.3 ms | 4480.0 samples/s
  step   950/1558 | loss 0.5948 | data 0.1 ms | step 114.5 ms | 4470.8 samples/s
  step  1000/1558 | loss 0.5786 | data 0.1 ms | step 114.2 ms | 4484.3 samples/s
  step  1050/1558 | loss 0.5652 | data 0.1 ms | step 114.4 ms | 4476.6 samples/s
  step  1100/1558 | loss 0.5545 | data 0.1 ms | step 117.1 ms | 4371.8 samples/s
  step  1150/1558 | loss 0.5374 | data 0.1 ms | step 117.4 ms | 4361.5 samples/s
  step  1200/1558 | loss 0.5284 | data 0.1 ms | step 117.3 ms | 4364.9 samples/s
  step  1250/1558 | loss 0.5383 | data 0.1 ms | step 117.3 ms | 4365.0 samples/s
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
  step    50/1558 | loss 1.0050 | data 4.7 ms | step 124.6 ms | 4108.7 samples/s
  step   100/1558 | loss 0.9733 | data 0.1 ms | step 110.3 ms | 4641.8 samples/s
  step   150/1558 | loss 0.9413 | data 0.1 ms | step 111.0 ms | 4613.2 samples/s
  step   200/1558 | loss 0.8793 | data 0.1 ms | step 113.3 ms | 4520.3 samples/s
  step   250/1558 | loss 0.7993 | data 0.1 ms | step 113.3 ms | 4518.8 samples/s
  step   300/1558 | loss 0.7413 | data 0.1 ms | step 113.0 ms | 4531.7 samples/s
  step   350/1558 | loss 0.7027 | data 0.1 ms | step 115.8 ms | 4420.3 samples/s
  step   400/1558 | loss 0.6692 | data 0.1 ms | step 117.1 ms | 4372.9 samples/s
  step   450/1558 | loss 0.6316 | data 0.1 ms | step 116.6 ms | 4392.8 samples/s
