Starting DDP Training: World Size 1, Batch Size 256 (Global 256)
Epoch 1
  step    50/3115 | loss 1.0003 | data 4.4 ms | step 118.6 ms | 2158.2 samples/s
  step   100/3115 | loss 0.9521 | data 0.1 ms | step 105.6 ms | 2424.7 samples/s
  step   150/3115 | loss 0.9305 | data 0.1 ms | step 105.6 ms | 2424.9 samples/s
  step   200/3115 | loss 0.8594 | data 0.1 ms | step 105.6 ms | 2424.0 samples/s
  step   250/3115 | loss 0.7655 | data 0.1 ms | step 105.7 ms | 2421.6 samples/s
  step   300/3115 | loss 0.6750 | data 0.1 ms | step 105.6 ms | 2423.6 samples/s
  step   350/3115 | loss 0.6199 | data 0.1 ms | step 105.7 ms | 2421.1 samples/s
  step   400/3115 | loss 0.5967 | data 0.1 ms | step 105.8 ms | 2419.5 samples/s
  step   450/3115 | loss 0.5512 | data 0.1 ms | step 107.9 ms | 2372.8 samples/s
  step   500/3115 | loss 0.5429 | data 0.1 ms | step 105.8 ms | 2419.0 samples/s
  step   550/3115 | loss 0.5126 | data 0.1 ms | step 105.9 ms | 2417.4 samples/s
  step   600/3115 | loss 0.4986 | data 0.1 ms | step 105.8 ms | 2419.0 samples/s
  step   650/3115 | loss 0.4849 | data 0.1 ms | step 105.8 ms | 2419.1 samples/s
  step   700/3115 | loss 0.4715 | data 0.1 ms | step 105.8 ms | 2420.8 samples/s
  step   750/3115 | loss 0.4388 | data 0.1 ms | step 105.6 ms | 2423.6 samples/s
  step   800/3115 | loss 0.4445 | data 0.1 ms | step 105.8 ms | 2420.0 samples/s
  step   850/3115 | loss 0.4257 | data 0.1 ms | step 105.7 ms | 2421.1 samples/s
  step   900/3115 | loss 0.4047 | data 0.1 ms | step 105.8 ms | 2418.9 samples/s
  step   950/3115 | loss 0.3967 | data 0.1 ms | step 105.7 ms | 2421.4 samples/s
  step  1000/3115 | loss 0.3770 | data 0.1 ms | step 105.7 ms | 2421.7 samples/s
  step  1050/3115 | loss 0.3617 | data 0.1 ms | step 105.7 ms | 2421.4 samples/s
  step  1100/3115 | loss 0.3469 | data 0.1 ms | step 105.9 ms | 2418.2 samples/s
  step  1150/3115 | loss 0.3527 | data 0.1 ms | step 105.9 ms | 2416.3 samples/s
  step  1200/3115 | loss 0.3130 | data 0.1 ms | step 105.9 ms | 2417.1 samples/s
  step  1250/3115 | loss 0.3608 | data 0.1 ms | step 105.9 ms | 2416.6 samples/s
  step  1300/3115 | loss 0.3186 | data 0.1 ms | step 105.9 ms | 2417.8 samples/s
  step  1350/3115 | loss 0.3157 | data 0.1 ms | step 105.9 ms | 2417.7 samples/s
  step  1400/3115 | loss 0.3079 | data 0.1 ms | step 105.8 ms | 2420.0 samples/s
  step  1450/3115 | loss 0.2987 | data 0.1 ms | step 106.0 ms | 2415.0 samples/s
  step  1500/3115 | loss 0.3010 | data 0.1 ms | step 106.1 ms | 2412.1 samples/s
  step  1550/3115 | loss 0.2812 | data 0.1 ms | step 106.2 ms | 2410.9 samples/s
  step  1600/3115 | loss 0.2845 | data 0.1 ms | step 106.1 ms | 2412.8 samples/s
  step  1650/3115 | loss 0.2614 | data 0.1 ms | step 101.8 ms | 2513.9 samples/s
  step  1700/3115 | loss 0.2647 | data 0.1 ms | step 101.8 ms | 2514.3 samples/s
  step  1750/3115 | loss 0.2661 | data 0.1 ms | step 101.8 ms | 2513.9 samples/s
  step  1800/3115 | loss 0.2664 | data 0.1 ms | step 101.8 ms | 2514.6 samples/s
  step  1850/3115 | loss 0.2613 | data 0.1 ms | step 101.9 ms | 2512.9 samples/s
  step  1900/3115 | loss 0.2557 | data 0.1 ms | step 101.9 ms | 2512.7 samples/s
  step  1950/3115 | loss 0.2558 | data 0.1 ms | step 101.9 ms | 2512.6 samples/s
  step  2000/3115 | loss 0.2386 | data 0.1 ms | step 101.8 ms | 2513.9 samples/s
  step  2050/3115 | loss 0.2281 | data 0.1 ms | step 101.9 ms | 2513.4 samples/s
  step  2100/3115 | loss 0.2322 | data 0.1 ms | step 101.9 ms | 2512.3 samples/s
  step  2150/3115 | loss 0.2322 | data 0.1 ms | step 102.0 ms | 2510.0 samples/s
  step  2200/3115 | loss 0.2318 | data 0.1 ms | step 104.0 ms | 2462.6 samples/s
  step  2250/3115 | loss 0.2195 | data 0.1 ms | step 101.8 ms | 2515.3 samples/s
  step  2300/3115 | loss 0.2143 | data 0.1 ms | step 101.8 ms | 2515.4 samples/s
  step  2350/3115 | loss 0.2301 | data 0.1 ms | step 102.1 ms | 2507.6 samples/s
  step  2400/3115 | loss 0.1956 | data 0.1 ms | step 101.9 ms | 2512.9 samples/s
  step  2450/3115 | loss 0.2287 | data 0.1 ms | step 105.6 ms | 2423.8 samples/s
  step  2500/3115 | loss 0.2325 | data 0.1 ms | step 106.0 ms | 2415.3 samples/s
  step  2550/3115 | loss 0.2042 | data 0.1 ms | step 106.0 ms | 2415.0 samples/s
  step  2600/3115 | loss 0.2099 | data 0.1 ms | step 105.9 ms | 2416.4 samples/s
  step  2650/3115 | loss 0.2116 | data 0.1 ms | step 106.0 ms | 2415.3 samples/s
  step  2700/3115 | loss 0.2060 | data 0.1 ms | step 106.0 ms | 2414.6 samples/s
  step  2750/3115 | loss 0.1985 | data 0.1 ms | step 106.1 ms | 2411.8 samples/s
  step  2800/3115 | loss 0.1953 | data 0.1 ms | step 106.1 ms | 2411.8 samples/s
  step  2850/3115 | loss 0.1921 | data 0.1 ms | step 106.3 ms | 2409.0 samples/s
  step  2900/3115 | loss 0.2001 | data 0.1 ms | step 106.2 ms | 2411.6 samples/s
  step  2950/3115 | loss 0.1817 | data 0.1 ms | step 106.2 ms | 2410.9 samples/s
  step  3000/3115 | loss 0.1806 | data 0.1 ms | step 106.6 ms | 2400.9 samples/s
