Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
  step    50/1558 | loss 0.9962 | data 4.4 ms | step 80.1 ms | 6394.1 samples/s
  step   100/1558 | loss 0.9929 | data 0.1 ms | step 73.4 ms | 6973.7 samples/s
  step   150/1558 | loss 0.9889 | data 0.1 ms | step 73.1 ms | 7001.4 samples/s
  step   200/1558 | loss 0.9828 | data 0.1 ms | step 73.1 ms | 6999.5 samples/s
  step   250/1558 | loss 0.9782 | data 0.1 ms | step 73.2 ms | 6993.2 samples/s
  step   300/1558 | loss 0.9744 | data 0.1 ms | step 73.2 ms | 6992.3 samples/s
  step   350/1558 | loss 0.9710 | data 0.1 ms | step 72.8 ms | 7030.6 samples/s
  step   400/1558 | loss 0.9682 | data 0.1 ms | step 73.3 ms | 6987.3 samples/s
  step   450/1558 | loss 0.9636 | data 0.1 ms | step 73.1 ms | 7000.2 samples/s
  step   500/1558 | loss 0.9597 | data 0.1 ms | step 73.0 ms | 7017.8 samples/s
  step   550/1558 | loss 0.9560 | data 0.1 ms | step 73.2 ms | 6990.9 samples/s
  step   600/1558 | loss 0.9514 | data 0.1 ms | step 72.6 ms | 7052.5 samples/s
  step   650/1558 | loss 0.9490 | data 0.1 ms | step 69.5 ms | 7369.2 samples/s
  step   700/1558 | loss 0.9423 | data 0.1 ms | step 69.6 ms | 7359.3 samples/s
  step   750/1558 | loss 0.9269 | data 0.1 ms | step 69.5 ms | 7363.5 samples/s
  step   800/1558 | loss 0.9107 | data 0.1 ms | step 69.6 ms | 7351.5 samples/s
  step   850/1558 | loss 0.8876 | data 0.1 ms | step 69.9 ms | 7320.7 samples/s
  step   900/1558 | loss 0.8772 | data 0.1 ms | step 69.9 ms | 7328.8 samples/s
  step   950/1558 | loss 0.8495 | data 0.1 ms | step 69.3 ms | 7391.0 samples/s
  step  1000/1558 | loss 0.8383 | data 0.1 ms | step 69.5 ms | 7362.8 samples/s
  step  1050/1558 | loss 0.8182 | data 0.1 ms | step 69.4 ms | 7372.3 samples/s
  step  1100/1558 | loss 0.8126 | data 0.1 ms | step 66.6 ms | 7682.2 samples/s
  step  1150/1558 | loss 0.7934 | data 0.1 ms | step 67.6 ms | 7570.5 samples/s
  step  1200/1558 | loss 0.7989 | data 0.1 ms | step 73.4 ms | 6972.2 samples/s
  step  1250/1558 | loss 0.7926 | data 0.1 ms | step 73.1 ms | 7001.0 samples/s
  step  1300/1558 | loss 0.7821 | data 0.1 ms | step 72.4 ms | 7075.0 samples/s
  step  1350/1558 | loss 0.7755 | data 0.1 ms | step 72.0 ms | 7114.0 samples/s
  step  1400/1558 | loss 0.7614 | data 0.1 ms | step 72.1 ms | 7096.7 samples/s
  step  1450/1558 | loss 0.7576 | data 0.1 ms | step 72.8 ms | 7034.9 samples/s
  step  1500/1558 | loss 0.7453 | data 0.1 ms | step 73.1 ms | 7001.7 samples/s
  step  1550/1558 | loss 0.7370 | data 0.1 ms | step 72.6 ms | 7050.8 samples/s
Train Loss: 0.8842
Epoch 2
  step    50/1558 | loss 0.7248 | data 5.5 ms | step 73.4 ms | 6978.4 samples/s
