============================================================
MAT Pseudo-Grid LWM (Method 2: 8×16) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_pseudo_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_pseudo_lwm_weights.pth
------------------------------------------------------------
Dataset — train: 898605, val: 224651, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
  step    50/14041 | loss 125.9861 | data 2.6 ms | step 10.9 ms | 5887.9 samples/s
  step   100/14041 | loss 87.8724 | data 0.0 ms | step 3.1 ms | 20723.3 samples/s
  step   150/14041 | loss 82.9116 | data 0.0 ms | step 3.1 ms | 20626.3 samples/s
  step   200/14041 | loss 71.5362 | data 0.1 ms | step 3.1 ms | 20553.2 samples/s
  step   250/14041 | loss 75.4166 | data 0.1 ms | step 3.4 ms | 19063.6 samples/s
  step   300/14041 | loss 70.9891 | data 0.1 ms | step 4.4 ms | 14454.4 samples/s
  step   350/14041 | loss 70.9783 | data 0.1 ms | step 4.4 ms | 14443.2 samples/s
  step   400/14041 | loss 67.2750 | data 0.1 ms | step 4.4 ms | 14457.8 samples/s
  step   450/14041 | loss 63.3203 | data 0.1 ms | step 4.4 ms | 14391.3 samples/s
  step   500/14041 | loss 61.5568 | data 0.1 ms | step 4.5 ms | 14087.9 samples/s
  step   550/14041 | loss 62.3870 | data 0.1 ms | step 4.4 ms | 14546.1 samples/s
  step   600/14041 | loss 66.5995 | data 0.1 ms | step 4.4 ms | 14528.7 samples/s
  step   650/14041 | loss 67.7820 | data 0.1 ms | step 4.4 ms | 14653.9 samples/s
  step   700/14041 | loss 63.9327 | data 0.1 ms | step 3.9 ms | 16524.3 samples/s
