============================================================
MAT-ViT-LWM (Method 1: 32×32 ViT) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_vit_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
Num workers : 8 | Pin memory: True
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Scheduler per batch: False
Seed        : 0
SNR (dB)    : None
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_vit_lwm_weights.pth
------------------------------------------------------------
Dataset sizes — train: 898605, val: 224651, test: 1
Batches per epoch — train: 14041, val: 3511, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
Batch Size   : 64
  step    50/14041 | loss 67.8210 | data 2.8 ms | step 41.0 ms | 1561.4 samples/s
  step   100/14041 | loss 11.2920 | data 0.1 ms | step 25.4 ms | 2521.3 samples/s
  step   150/14041 | loss 8.5260 | data 0.1 ms | step 24.0 ms | 2670.5 samples/s
  step   200/14041 | loss 6.7383 | data 0.1 ms | step 25.1 ms | 2549.2 samples/s
  step   250/14041 | loss 5.7512 | data 0.1 ms | step 23.7 ms | 2704.5 samples/s
  step   300/14041 | loss 6.1876 | data 0.1 ms | step 24.8 ms | 2584.6 samples/s
  step   350/14041 | loss 5.0629 | data 0.1 ms | step 24.5 ms | 2617.0 samples/s
  step   400/14041 | loss 4.2222 | data 0.1 ms | step 24.5 ms | 2614.9 samples/s
  step   450/14041 | loss 4.1035 | data 0.1 ms | step 24.8 ms | 2581.2 samples/s
  step   500/14041 | loss 3.5737 | data 0.1 ms | step 26.3 ms | 2434.4 samples/s
  step   550/14041 | loss 3.3606 | data 0.1 ms | step 27.7 ms | 2309.7 samples/s
  step   600/14041 | loss 3.2291 | data 0.1 ms | step 23.7 ms | 2703.2 samples/s
